section,concurrency,tasks,latency_ms,makespan_ms,speedup_vs_serial,efficiency_pct,caller_runs,rejected
stage_serial,1,6,200,1245,1.000,100.0,,
stage_parallel,4,6,200,389,3.201,80.0,,
stage_serial,1,6,400,2422,1.000,100.0,,
stage_parallel,4,6,400,916,2.644,66.1,,
stage_serial,1,10,600,5631,1.000,100.0,,
stage_parallel,4,10,600,1638,3.438,85.9,,
sweep,1,16,300,4958,1.000,100.0,,
sweep,2,16,300,2472,2.006,100.3,,
sweep,3,16,300,1708,2.903,96.8,,
sweep,4,16,300,1352,3.667,91.7,,
sweep,5,16,300,1160,4.274,85.5,,
sweep,6,16,300,971,5.106,85.1,,
sweep,8,16,300,699,7.093,88.7,,
sweep,10,16,300,690,7.186,71.9,,
sweep,12,16,300,598,8.291,69.1,,
sweep,16,16,300,436,11.372,71.1,,
provider_cap,1,16,300,4814,1.000,,,
provider_cap,2,16,300,2523,1.908,,,
provider_cap,4,16,300,1317,3.655,,,
provider_cap,6,16,300,1393,3.456,,,
provider_cap,8,16,300,1383,3.481,,,
provider_cap,12,16,300,1270,3.791,,,
provider_cap,16,16,300,1299,3.706,,,
e2e_v0,1,25,,10974,1.000,,,
e2e_current,4,25,,4787,2.292,,,
caller_runs,4,24,300,1574,,,4,0
